,Properties,frequency
2992,Acoustic bandwidth,2
3402,Nucleation Density,2
3401,Flow instability,2
3400,Dislocation sliding,2
3399,Grain boundary sliding,2
3398,Discontinuous dynamic recrystallization,2
3397,Deformation activation energy,2
3396,Hot deformation,2
3393,Macroscopic morphology,2
3432,Abrasion resistance,2
3437,Strengthened,2
6480,Lorenz Number,2
3465,Edge burrs,2
1233,Strength-Ductility Ratio,2
6483,Melting Temperatures,2
3479,Electrochemical performances,2
6632,El,2
2928,Electroactivity,2
2931,Consolidation,2
8303,Effective Stress,2
2935,LPS,2
8305,Oxidation Information,2
8306,Poor Ductility,2
6487,Von Mises Stress,2
3464,Surface defects,2
3438, -TixW1 x Phase,2
3463,Surface quality,2
2944,Bond length,2
151,Vacancy Diffusivity,2
8312,Strain at Failure,2
8313,Nanosized Precipitate Formation,2
6492,Magnetic Characteristics,2
6628,Crystalline defects,2
6627,Atomic scale structures,2
3441,Brittle Nature,2
3440,Self-repair Ability,2
3439,Bcc,2
2649,D022,2
2432,Interstitial Formation Energy,2
4330,Interface Energy,2
1373,Duplex,2
7862,Heat Resisting Properties,2
7863,Soft-Magnetic Properties,2
4262,Lattice Strains,2
2532,Shear Strain Rate,2
7778,Nonlinearity,2
2420,Indentation Depth,2
6224,Macro hardness,2
6225,Micro hardness,2
4541,Volume fractions,2
4250,Lamellar Morphology,2
2534,Lithophilic,2
2535,Nucleation Potential,2
7722,Infrared stealth,2
2536,Migration Kinetics,2
4428,Stacking faults,2
7721,Wave absorption,2
4245,Maximum Compressive Strength,2
2539,Lithiophilic,2
4242,Maximum Hertzian contact pressure,2
1086,Softening Effect,2
6784,Single-phase Formability,2
2371,TWIP/TRIP effects,2
2527,Carbon Dissolution,2
4535,Tensile plasticity,2
7847,Internal Necking,2
4293,Strain Energy,2
2515,Protective Oxide Scale,2
1353,Micro Strain,2
4290,Optoelectronic,2
2382,Critical Properties,2
4288,Soft Phase,2
4287,Hard Matrix,2
4537,High-temperature Shape Memory Property,2
7855,Ordered,2
7856,Disordered,2
6141,Mean Particle Size,2
2524,Compressive stress-strain,2
6140,Pore size distributions,2
4275,Valence State,2
4274,Element Content,2
2526,Molar Mass,2
4272,Creep Lifetime,2
4239,Flux Pinning Force Density,2
2542,Nucleation Overpotential,2
4236,Formation ability,2
7719,Micro-nanohardness,2
7886,Gravimetric Capacity,2
7713,Deformation mechanism,2
6771,Ionicity,2
4213,Diffusion Barriers,2
7712,Scaling Resistance,2
4554,Nanoindentation hardness,2
532,Microvoids,2
6136,Wear track profile,2
4209,Stress Partitioning,2
2546,Capacity Reversibility,2
528,Wear Response,2
7893,Impurities,2
4204,Anti-CE Performance,2
6158,Linear Expansion Rate,2
6241,Cavitation erosion resistance,2
6823,Preferential Bonding,2
2548,Chemical Short-Range Ordering,2
1055,Two-phase,2
2415,Uniaxial Twinning Stress,2
6773,Resistance to High-Temperature Softening,2
2435,Atomic Composition,2
2545,Lithiophilic Properties,2
614,Schmidt factor,2
4234,Cooling rate,2
7718,Irradiation Defects,2
4233,Average Strain Rate,2
2543,Charge and Discharge Efficiency,2
6139,Mesoporous characteristics,2
2544,Electrochemical Reaction Kinetics,2
4230,High-temperature oxidation,2
4229,Hot corrosion,2
6231,Transgranular Fracture,2
4472,Cracking Sensibility,2
4457,bcc lattice,2
1392,Subsurface Strengthening,2
1347,Swelling Tolerance,2
4473,Solidification Modes,2
4223,Width,2
6776,Shock Resistance,2
7715,In Vitro Biocompatibility,2
6137,Worn surface morphology,2
4298,Linear expansion coefficients,2
556,Compressive Macrostress,2
4534,Bending plasticity,2
635,Evaporation,2
1363,Co-segregation,2
4373,Ion-Irradiation Resistance,2
4372,Diffusion Behavior,2
7784,Scratch Crack Propagation Resistance,2
4370,Pitting resistance,2
4497,Ultrfine-grained Structure,2
6806,Grain Boundary Character Distribution,2
7812,Figures of merit,2
7783,Percentage elongation,2
2472,Deformation Degree,2
4360,Wear Pattern,2
4359,Wear Amount,2
6196,Strain-hardenability,2
6197,Lattice Constant Reduction,2
613,Dislocation distribution,2
2474,Average Roughness,2
4416,Bso,2
7736,Short-Range Clustering,2
6800,Indentation fracture toughness,2
2469,Stress Performance Index,2
2468,Defect Resistance,2
4377,Complex permittivity,2
7804,High Lattice Distortion,2
6814,Interfacial Reaction Rate,2
6181,Micro-structure,2
6182,Irradiation Swelling,2
6151,Co2+,2
4395,Super-hardness,2
1075,Interdendrites,2
7800,Ductile Behavior,2
2454,Stabilization,2
589,Interfacial Characteristics,2
7808,Hydrogen storage kinetics,2
2446,Size Misfit,2
6150,Co3+,2
4493,High Temperature Phase Stabilities,2
4494,Resistance Against Softening,2
583,Recombination Rate,2
7786,Phase Development,2
612,Grain boundary distribution,2
4484,Local Distortions,2
7735,Local Structural Disorder,2
7825,Solute Diffusion,2
4300,Thermal hardness,2
4344,Phonon,2
2487,Precipitation temperature,2
2488,Linear expansion coefficient,2
7841,Metamagnetic Phase Transition Temperature,2
2494,Serrated Flow Stress,2
4527,Effective RCP,2
4528,Structure Transformation,2
6142,Surface Oxygen Vacancies,2
6155,Mn4+,2
2501,Apatite Formation,2
560,Relaxations,2
2504,Passive Film Composition,2
2510,Soft magnetism,2
4304,Atomic Size,2
4303,Twin Stability,2
4423,Rigidity,2
7725,Absorptivity,2
4301,Binding Strength,2
4532,High-temperature shape memory property,2
4533,Plastic deformability,2
6792,Thermodynamical Parameters,2
4422,Amorphous Structures,2
4421,Nano-crystal Grains,2
6144,OER overpotentials,2
6799,Lattice Defect,2
4514,Thermal Characteristics,2
7744,Stopping Power,2
2480,Extended Defect Formation,2
4517,Silicide,2
4337,Strain at Break,2
7830,Ultrafine Grain Size,2
4335,Penetration Barrier Ability,2
4417,B,2
2486,Solid solution temperature,2
4334,AO Resistance,2
7831,Hall-Petch Strengthening,2
6153,Mn2+,2
4329,Glass Transformation Temperature,2
6154,Mn3+,2
6143,OVs,2
4526,Second phase particles,2
4324,Scale Forming,2
2549,Yielding Behavior,2
6770,Covalence,2
2370,BCC-TRIP effect,2
2328,Torsion Angle,2
6850,Shear Transformation Strain,2
620,Microcrack Closure,2
4087,Damage Depth,2
4086,Au Ions Concentration,2
4085,Damage Level,2
6276,Weiss Temperature,2
4079,Magnetic Flux Density,2
7966,Resource Efficiency,2
4624,Phase Strengthening,2
2620,Covalent Bonds,2
4626,Cutting Forces,2
2622,Anti-Wear Ability,2
6109,Dislocation Tangles,2
7970,Softening Rate,2
2623,Brittle Damage,2
2625,Transverse Sound Speed,2
7971,Creep Strengthening,2
4065,Cleanliness,2
424,RSSD ionic radius,2
667,Rod-like,2
1067,Resistance to Localized Corrosion,2
426,PS,2
2313,Martensite Phase Transformation,2
4111,Homogenization,2
524,Short Range Ordering,2
2327,Torque,2
2326,Transformation Strain,2
2607,Irreversible Entropy Change,2
455,Free Corrosion Potential,2
6846,Mass Capacitance,2
6825,L12-type LCOs,2
435,Enthalpy Changes,2
429,Relaxation Time,2
666,Granular,2
7763,Steady-State Creep Rate,2
434,Sloping Factor,2
2309,Fracture Surface Morphology,2
4095,Plastic Stability,2
433,Hysteresis Factor,2
2308,Dynamic Precipitation,2
7956,Forming Behavior,2
621,Pore Closure,2
7975,Scale Exfoliation,2
7976,Nanotwinning Deformation,2
1413,Corrosion Ability,2
4636,Dislocation Glide-Climb,2
4462, -Cr5Ge3,2
4637,Compressive True Stress,2
2644,HCP Phase,2
7757,Neutron Attenuation,2
6103,Tunable Curie temperature,2
4027,Dislocation Substructure,2
6741,Chemical Nonhomogeneity,2
4648,No Elemental Segregation,2
403,Isochoric heat capacity,2
6096,Yolk-Shell Structures,2
7995,B/G Ratios,2
7996,Expansion Coefficient,2
670,Contact Damage Resistance,2
6740,HEL,2
7998,Anisotropic parameter,2
6095,Hollow Structures,2
7655,Vickers macro hardness,2
4033,Small Tafel Slope,2
6289,Continuous Dynamic Recrystallization,2
6827,Hetero-deformation Induced Strengthening,2
4464,Resistance to Irradiation Damage,2
4055,Grain Boundary Mobility,2
623,FE,2
6108,Globularization,2
4629,Scratch resistance,2
4054,Modulus Mismatch,2
4052,Chemical Bond Strength,2
7980,Deformation Plasticity,2
7981,High Strengths,2
4046,Worn volume,2
4635,Penetration Mode,2
4045,Antifriction Performance,2
4044,High Temperature Wear Resistance,2
6286,Migration Energies,2
6745,Dynamic strain rate,2
7758,Gamma-ray Shielding,2
4463,Standard enthalpy,2
4040,Tracer diffusivity,2
7987,Defect Sinks,2
1320,Zener Anisotropy Index,2
4106,Polydispersity Index,2
7941,High-Entropy Solution Strengthening,2
7706,Indentation Force,2
2368,  -martensite,2
6130,Quasi-Cleavage Fracture,2
4569,Ratcheting,2
4570,Lattice Rotation,2
4571,bcc Structure,2
7910,Chemical Anchoring Ability,2
2567,Volume Swelling Ratio,2
4572,Elastic Anisotropy Factor,2
4169,Resistive Transition,2
6251,Effective mass,2
1325,Electronic States,2
4163,Microscopic morphology,2
4161,Protection Potential,2
2434,Interstitial Diffusion,2
1323,Electrochemically active surface area,2
2578,Stress-Strain,2
6168,Elastic contact stiffness,2
7917,Dislocation Loop Hardening,2
7689,Nano-grained Structures,2
7908," """,2
4177,Oxide Growth Rate,2
7918,Mismatch Strengthening,2
4178,Oxide Spallation Resistance,2
4195,Precipitation Behavior,2
7900,Morphologic,2
7901,Surface Characteristics,2
519,Multiphasic,2
1053,Multiphase,2
6134,Correlation Length,2
6133,GSFE Perturbation,2
2556,Hexagonal Crystal Structure,2
2558,Crystal orientation,2
4188,Precipitation Orowan Strengthening,2
2559,Modulus Distortion,2
4186,Cavitation resistances,2
1386,Magnetic Stability,2
4184,Laminated Nanocrystalline-Amorphous Structure,2
4183,Hardness-to-Density Ratio,2
2564,Specific Penetration Energy,2
6246,Symmetry,2
4562,Bending Stress,2
6247,Density-of-States,2
1399,Dislocation Patterns,2
6824,Debye-Waller Factors,2
2349,Single-phase fcc,2
2429,Gd Magnetic Moment,2
2591,Lattice Stress-Strain Relaxation,2
2593,Tensile stress,2
2347,Absence of  -phase,2
2594,Strain speed,2
514,Soft fcc phase,2
6842,Grain Boundary Gliding,2
6264,Sustainability,2
474,Brittle Fracturing,2
6123,Activation time,2
466,Spin-glass,2
7694,Cyclic Strain Resistance,2
463,Oxygen Adsorption,2
7693,Cyclic Stress Resistance,2
662,Lattice Distortion Energy,2
7939,Thermal Shock,2
663,Structural Instability,2
1403,Growth,2
4118,Solid Solution Tendency,2
4116,Dendrite Structures,2
6262,Hydrogen Isotope Effect,2
6152,Cr3+,2
2585,Intermetallic Compound,2
4467,Shock Damage,2
4468,Unstable SFE,2
7922,Medium-Entropy,2
4150,Surface phase,2
4578,Amorphous property,2
7923,Creep stress exponent,2
7924,Creep activation volume,2
2359,Unidirectional anisotropy,2
7698,Metamagnetic Behavior,2
6765,Wear Track,2
6841,Grain Deformation,2
4577,Atomic disorder,2
4445,Grain Boundary Diffusion,2
6875,Noise,1
6619,Strain Rate Strengthening,1
6832,EM characteristics,1
7026,Nuclear radiation attenuation,1
968,Interior Damage,1
6620,Thermoplastic Instability,1
1059,Anti-radiation,1
6874,Ablation Rates,1
1031,Charging-Discharging Speed,1
6621,Structural Reliability,1
6618,Adhesion Wear,1
1146,ccp,1
6616,Coefficient,1
6589,Detrimental Phases,1
6839,Hydrogen charging,1
6858,TTT Diagram,1
6840,Creep Displacements,1
1170,Metal-insulator transition,1
6595,CoFs,1
6594,Nanopillar Compression,1
6593,Solid Solution Temperature,1
6592,Absence of Detrimental Phases,1
6591,Compatible Inter-phase Boundaries,1
6847,Migration Ability,1
6590,Reduced Chemical Segregation,1
6849,Crystallite Fragmentation,1
6588,Inter-phase Boundaries,1
1148,L10,1
6587,Chemical Segregation,1
6856,Thermoelectric Power,1
6585,High Temperature Hardness,1
6584,Elastic Regime,1
6583,Local Shear Strain,1
1171,Damping Coefficient,1
6851,High Mixing Entropy,1
6579,Antibacterial Effects,1
6852,B2 Structure,1
1173,Thermal Actuation,1
6576,High-rate Capacity,1
7045,Electron Mobility,1
6861,Areal capacitance,1
6862,High-Temperature Tribological Properties,1
7027,Gamma-ray absorption,1
6610,Defect-free Microstructure,1
7028,Eutectic Reactions,1
6870,Morphological analysis,1
7029,Nanoindentation Creep,1
1054,Single-structured,1
6836,Superparamagnetic,1
1144,Adiabatic Shear Bands,1
6837,Saturation Induction,1
6614,Phase Homogenization,1
1145,Phase Mixtures,1
966,Hardening Ratio,1
1032,Crystalline Defect,1
6612,Temperature Changes,1
7033,Comprehensive properties,1
6863,Yielding Stress,1
963,Critical pitting temperature,1
7035,Hydrogen sorption,1
6606,Twin-induced Interfacial Boundary Migration,1
7036,FCC hydrides,1
6865,Diffusion Layer Thickness,1
6605,Interfacial Grain Boundaries,1
7037,Cycling behavior,1
6604,Interfacial Oxide Particles,1
6603,Bonding Quality,1
6601,Sonic speed,1
7038,Dynamic Strain Hardening,1
7039,Hot Working Characteristics,1
969,OER Activities,1
6738,Electrochemically accessible surface areas,1
1030,Frequency Stability,1
6696,Indentation,1
6698,Fracture Surfaces,1
6699,Dendritic morphology,1
6766,Longitudinal Wave Velocity,1
6764,Melting enthalpy,1
6700,Lower critical field,1
6966,fcc matrix,1
6702,Passive Characteristics,1
6964,Optimization,1
6763,Heating rates,1
6762,Equilibrium phase fraction,1
6761,Homogeneous concentration distribution,1
6760,Eutectic Volume Fraction,1
6759,Melting Point Depression,1
6961,Volume fraction of   phase,1
6960,Solitary   phase region,1
6959,Dual-phase region,1
6958,Solitary   Phase Region,1
1089,Single-Phase fcc,1
6957,Dual-Phase Region,1
6697,Micro-strains,1
6767,Transverse Wave Velocity,1
6955,Planar Fault Formation,1
989,Critical Twin Shear Stress,1
6772,Passivation Layer,1
978,Benzaldehyde production,1
6977,Cr Accumulation,1
1120,Mechanical Traits,1
1119,Chemical Traits,1
1118,Physical Traits,1
6976,Security Threshold,1
6685,EM absorption,1
6769,Deformation Strengthening,1
6686,EM Absorption,1
6975,Fracture Modulus,1
6921,Debye-Waller Factor,1
6922,Structural Distortion,1
6974,Mechanical Performances,1
6690,Electromagnetic Property,1
6691,RLmin,1
6692,EMI shielding,1
6693,Impedance matching,1
986,Pop-ins,1
993,Micro-mechanical Behavior,1
6954,Energy Cost,1
7019,Ultrahigh Strengths,1
6942,Low Elongation,1
6722,Mechanical Bonding,1
6746,Compressive strain rate,1
1096,Disordering,1
6726,Force-Thermal Properties,1
6727,Rheological Stress,1
6728,Deformation Resistance Strength,1
6744,Low Work Function,1
6930,Surface Contamination,1
6733,Fracture Absorption Energy,1
6743,Compressive Microgeometry,1
6938,Defect Absorption Rate,1
6937,Plastic Accommodation,1
6742,EM Wave Absorption Capability,1
6735,Single Phase Microstructure,1
6933,Structural Sensitivity,1
6934,Notch Strength Ratio,1
6935,Stress Concentration Factor,1
6736,Erosive Wear Resistance,1
6739,Recrystallization Resistance,1
1098,Microstructural Coarsening,1
6747,Total strain,1
6953,Adaptability,1
1090,Intermetallic Coexistence,1
6705,Magnetic Domain Structure,1
994,Reversible Deformation-induced Martensitic Transformation,1
6707,Thermal Effusivity,1
6708,Phonon Scattering Coefficient,1
6755,Magnetic hysteresis loss,1
6754,Thermal hysteresis loss,1
6924,Exchange coupling,1
6950,Low Cycle Fatigue,1
1105,Ferrimagnetic Order,1
6949,Cluster Dissociation Probability,1
6948,Vacancy Cluster Formation Energy,1
995,Magnetic-Entropy Changes,1
6717,HCP Lamellae,1
6753,La5Si3 phase,1
6752,LaFeSi phase,1
6751,  Fe,1
6944,Ordering Transition,1
6925,Magneto-crystal anisotropy,1
6926,Magnetic polarization,1
6774,Recrystallized Structure,1
6917,Tool Flank Wear,1
6979,Complex intermetallics,1
6817,Mean Diameter,1
6888,Electrochemical Discharging Performance,1
6892,Nd-rich Phase,1
7008,Crack Initiation Energy,1
6816,Passive film properties,1
6815,Intermetallic Compound Growth Kinetics,1
1071,Gaseous storage,1
1073,Hydrogen capacities,1
7005,Precipitate Characteristics,1
6896,Detwinning Behavior,1
6808,Twin-related Domain Size,1
6897,Vortex Pinning,1
6898,A2/B2 Phases,1
6899,Equilibrium Stability,1
6638,Entropy changes,1
6807,Low   CSL Boundaries,1
6640,TRS,1
6805,Kinetical Barrier,1
6802,RMSS,1
7001,Phase transformations,1
7009,Crack Propagation Energy,1
6633,Strain to Fracture,1
6775,Dynamic Fracture Strain,1
1016,MT Behavior,1
6879,Phase transition temperature,1
6622,Penetrating Performance,1
7018,Strength-Ductility Equilibrium,1
7016,Relative disorder,1
970,Stress-to-Shear Modulus,1
7014,Defect Recovery,1
6880,Light reflectivity,1
6624,Martensite Transformation Temperature,1
7012,Oxide Layer Adhesion,1
6625,Solidification Behavior,1
7046,Lattice Parameter Expansion,1
6629,High temperature properties,1
6630,Enthalpy contribution,1
6882,Plasticity Coefficient,1
6821,LCO,1
6820,Oxidation Endurance,1
6819,Operational Temperature Window,1
6631,Nanoscale deformation twins,1
973,Effective carrier mass,1
6801,Coherent Domain Size,1
6902,Charge-transfer Resistance,1
6645,Uniform Compressive Strain,1
6999,N,1
6787,Thermodynamic Destabilization,1
6989,Oxide Layer Morphology,1
6785,Compactness of Oxide Films,1
6783,Oxide Scale Growth Rate,1
975,Phonon Linewidth,1
1088,Low-Temperature Stability,1
6779,Stability Range,1
1134,EBSD,1
1132,Stress-induced Martensitic Transformation,1
1131,Stress Corrosion Cracking Resistance,1
6986,Intrinsic Stacking Fault,1
1130,Strength-to-Price Ratio,1
6778,Growth Rates,1
6984,Static Magnetic,1
1127,Low-temperature tensile strength,1
1126,High-temperature oxidation stability,1
977,Hydrogen production,1
6981,Solid-solution-strengthening effects,1
6980,TCP phases,1
6789,Local Chemical Ordering,1
6790,Nanoindentation Strength,1
6660,Pugh ratio,1
6646,Strain Bursts,1
6998,C,1
6997,Hardening Resistance,1
6996,Radiation Hardening Resistance,1
6904,Hollow structures,1
1013,Nano-Carbides,1
6737,Electrocatalytic activities,1
6796,Planar Dislocations,1
6794,Endurance Limit,1
6793,High Temperature Shape Memory Alloy,1
6990,Degradation Characteristics,1
6994,HCP Transformation Rate,1
6648,Ferromagnetic-Paramagnetic Transition,1
6649,Basal Slip,1
6992,Non-modulated Tetragonal Structure,1
6907,Single Crystal,1
6657,Microstructural characteristics,1
6791,Indentation Stress,1
6991,Martensite Stabilization,1
6716,Passivation potential,1
7539,Optimized Electronic Structures,1
961,Zener ratio,1
8016,Polygonization,1
7977,Band Gap Structure,1
7978,Yield Rate,1
7985,Elastic Sound Velocities,1
7986,Irradiation-induced Hardening,1
416,Plastic Flow Stress,1
404,Isobaric heat capacity,1
7992,Na storage capability,1
7993,Rate property,1
7994,Poisson s Ratios,1
7997,Anisotropy parameter,1
7999,B/G ratio,1
8000,Average Sound Velocity,1
8001,Anisotropy Parameter,1
8002,Micro-Void Coalescence,1
8003,Hydrogen-Assisted Cracking,1
8005,Material Constants,1
8006,Solute Concentration,1
8008,Crystallization kinetics,1
8009,Chemical uniformity,1
400,Chemical Bonds,1
8011,Precipitation Process,1
395,Oxide Film Thickness,1
8014,Ablation Volume,1
7974,Defect Annihilation,1
7973,Bonding Length,1
7969,Phase Control,1
7942,Multi-Slip Dislocations,1
7925,Composition homogeneity,1
7926,Nanocrystalline nature,1
7927,High-temperature Peak Stress,1
7928,Dislocation Pinning,1
7929,Stress Exponents,1
515,Cr7C3,1
